Entity,Label,Ner_model,go_output,umls_output,mesh_output,hpo_output
viroplexis,DISEASE,bc5dr,['Nan'],['Nan'],['Nan'],['Nan']
productive infection,DISEASE,bc5dr,[productive infection],[productive infection],[productive infection],[productive infection]
gastroenteritis,DISEASE,bc5dr,"[gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]","[gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]","[gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]","[gastroenteritis, 'Entity_Matching_Score :0.8153096437454224', CUI: C3808828, Name: Recurrent gastroenteritis
Definition: Increased susceptibility to gastroenteritis, an infectious inflammationof the stomach and small intestines manifested by signs and symptoms such as diarheas and abdominal pain, as manifested by recurrent episodes of gastroenteritis. []
TUI(s): T033
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7275374531745911', CUI: C1262481, Name: Eosinophilic gastroenteritis
Definition: Gastroenteritis that is characterized by eosinophilic infiltration.
TUI(s): T047
Aliases: (total: 4): 
	 Gastrointestinal eosinophilia, Eosinophilic gastrointestinal disease, GI eosinophilia, Eosinophilic enteritis]"
hepatitis virus,DISEASE,bc5dr,"[hepatitis virus, 'Entity_Matching_Score :0.7850497961044312', CUI: C0042721, Name: Viral hepatitis
Definition: An acute or chronic inflammation of the liver parenchyma caused by viruses. Representative examples include hepatitis A, B, and C, cytomegalovirus hepatitis, and herpes simplex hepatitis.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7254184484481812', CUI: C0019158, Name: Hepatitis
Definition: INFLAMMATION of the LIVER.
TUI(s): T047
Aliases: (total: 1): 
	 Liver inflammation]","[hepatitis virus, 'Entity_Matching_Score :0.7850497961044312', CUI: C0042721, Name: Viral hepatitis
Definition: An acute or chronic inflammation of the liver parenchyma caused by viruses. Representative examples include hepatitis A, B, and C, cytomegalovirus hepatitis, and herpes simplex hepatitis.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7254184484481812', CUI: C0019158, Name: Hepatitis
Definition: INFLAMMATION of the LIVER.
TUI(s): T047
Aliases: (total: 1): 
	 Liver inflammation]","[hepatitis virus, 'Entity_Matching_Score :0.7850497961044312', CUI: C0042721, Name: Viral hepatitis
Definition: An acute or chronic inflammation of the liver parenchyma caused by viruses. Representative examples include hepatitis A, B, and C, cytomegalovirus hepatitis, and herpes simplex hepatitis.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7254184484481812', CUI: C0019158, Name: Hepatitis
Definition: INFLAMMATION of the LIVER.
TUI(s): T047
Aliases: (total: 1): 
	 Liver inflammation]","[hepatitis virus, 'Entity_Matching_Score :0.7850497961044312', CUI: C0042721, Name: Viral hepatitis
Definition: An acute or chronic inflammation of the liver parenchyma caused by viruses. Representative examples include hepatitis A, B, and C, cytomegalovirus hepatitis, and herpes simplex hepatitis.
TUI(s): T047
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7254184484481812', CUI: C0019158, Name: Hepatitis
Definition: INFLAMMATION of the LIVER.
TUI(s): T047
Aliases: (total: 1): 
	 Liver inflammation]"
angiotensin,CHEMICAL,bc5dr,[angiotensin],[angiotensin],[angiotensin],[angiotensin]
Enjuanes,CHEMICAL,bc5dr,[Enjuanes],[Enjuanes],[Enjuanes],[Enjuanes]
TRS,CHEMICAL,bc5dr,[TRS],[TRS],[TRS],[TRS]
Meer,DISEASE,bc5dr,[Meer],[Meer],[Meer],[Meer]
KEYS,CHEMICAL,bc5dr,[KEYS],[KEYS],[KEYS],[KEYS]
Campanacci,DISEASE,bc5dr,[Campanacci],[Campanacci],[Campanacci],[Campanacci]
