Entity,Label,Ner_model
Meer,DISEASE,bc5dr
Krijnse-Locker,DISEASE,bc5dr
viroplexis,DISEASE,bc5dr
coronavirus infectious bronchitis virus,DISEASE,bc5dr
Campanacci,DISEASE,bc5dr
MHV,DISEASE,bc5dr
"Shi et al., 1999; Sims et al., 2000; van der Meer",CHEMICAL,bc5dr
E. coli,DISEASE,bc5dr
double-membrane,CHEMICAL,bc5dr
KEYS,CHEMICAL,bc5dr
Enjuanes,CHEMICAL,bc5dr
Yokomuri,CHEMICAL,bc5dr
hepatitis virus,DISEASE,bc5dr
Syncytia,CHEMICAL,bc5dr
SARS,DISEASE,bc5dr
Opstetten,CHEMICAL,bc5dr
Drosten,CHEMICAL,bc5dr
coronaviruses TGEV,DISEASE,bc5dr
Gosert,CHEMICAL,bc5dr
vaccinia,DISEASE,bc5dr
gastroenteritis,DISEASE,bc5dr
human disease,DISEASE,bc5dr
Haijema,CHEMICAL,bc5dr
Gastroenteritis Coronavirus,DISEASE,bc5dr
angiotensin,CHEMICAL,bc5dr
CORONAVIRUS,DISEASE,bc5dr
infection,DISEASE,bc5dr
Li,CHEMICAL,bc5dr
peritonitis,DISEASE,bc5dr
coronavirus,DISEASE,bc5dr
acute respiratory syndrome,DISEASE,bc5dr
bovine,CHEMICAL,bc5dr
PLP,CHEMICAL,bc5dr
amino acid identity,CHEMICAL,bc5dr
productive infection,DISEASE,bc5dr
CcoV,CHEMICAL,bc5dr
TRS,CHEMICAL,bc5dr
Meer,DISEASE,bionlp13cg
Krijnse-Locker,DISEASE,bionlp13cg
viroplexis,DISEASE,bionlp13cg
coronavirus infectious bronchitis virus,DISEASE,bionlp13cg
Campanacci,DISEASE,bionlp13cg
MHV,DISEASE,bionlp13cg
"Shi et al., 1999; Sims et al., 2000; van der Meer",CHEMICAL,bionlp13cg
E. coli,DISEASE,bionlp13cg
double-membrane,CHEMICAL,bionlp13cg
KEYS,CHEMICAL,bionlp13cg
Enjuanes,CHEMICAL,bionlp13cg
Yokomuri,CHEMICAL,bionlp13cg
hepatitis virus,DISEASE,bionlp13cg
Syncytia,CHEMICAL,bionlp13cg
